AXIS bot evolution — run v1, budget 3 minutes

Data: 3951 daily bars (2010-08-18 → 2026-09-10)
Indicators precomputed

Buy-and-hold baseline: $1000 → $1116200000 (111619900% total return)

Gen   1 | best fit    5.045 | equity $    8696 | sortino 5.05 | trades 613 | ✓ SURVIVED
Gen   2 | best fit    5.572 | equity $    9082 | sortino 5.57 | trades 673 | ✓ SURVIVED
Gen   6 | best fit    6.654 | equity $    9637 | sortino 6.65 | trades 1103 | ✓ SURVIVED
Gen  11 | best fit    8.488 | equity $   13076 | sortino 8.49 | trades 935 | ✓ SURVIVED
Gen  16 | best fit    9.568 | equity $    4333 | sortino 9.57 | trades 1001 | ✓ SURVIVED
Gen  21 | best fit   10.022 | equity $   17376 | sortino 10.02 | trades 1013 | ✓ SURVIVED
Gen  26 | best fit   10.291 | equity $   18593 | sortino 10.29 | trades 995 | ✓ SURVIVED
Gen  31 | best fit   10.291 | equity $   18593 | sortino 10.29 | trades 995 | ✓ SURVIVED
Gen  36 | best fit   10.340 | equity $   15600 | sortino 10.34 | trades 981 | ✓ SURVIVED
Gen  41 | best fit   10.399 | equity $   20004 | sortino 10.40 | trades 989 | ✓ SURVIVED
Gen  46 | best fit   10.409 | equity $   13956 | sortino 10.41 | trades 989 | ✓ SURVIVED
Gen  51 | best fit   10.435 | equity $   13889 | sortino 10.44 | trades 991 | ✓ SURVIVED
Gen  56 | best fit   10.452 | equity $   16459 | sortino 10.45 | trades 1009 | ✓ SURVIVED
Gen  61 | best fit   10.489 | equity $   16453 | sortino 10.49 | trades 1005 | ✓ SURVIVED
Gen  66 | best fit   10.489 | equity $   16453 | sortino 10.49 | trades 1005 | ✓ SURVIVED
Gen  71 | best fit   10.534 | equity $   17882 | sortino 10.53 | trades 1011 | ✓ SURVIVED
Gen  76 | best fit   10.563 | equity $   27746 | sortino 10.56 | trades 1001 | ✓ SURVIVED
Gen  81 | best fit   10.617 | equity $   25210 | sortino 10.62 | trades 1007 | ✓ SURVIVED
Gen  86 | best fit   10.617 | equity $   25210 | sortino 10.62 | trades 1007 | ✓ SURVIVED
Gen  91 | best fit   10.631 | equity $   24390 | sortino 10.63 | trades 1007 | ✓ SURVIVED
Gen  96 | best fit   10.632 | equity $   24293 | sortino 10.63 | trades 1007 | ✓ SURVIVED
Gen 101 | best fit   10.633 | equity $   24138 | sortino 10.63 | trades 1007 | ✓ SURVIVED
Gen 106 | best fit   10.635 | equity $   23574 | sortino 10.64 | trades 1007 | ✓ SURVIVED
Gen 111 | best fit   10.635 | equity $   23574 | sortino 10.64 | trades 1007 | ✓ SURVIVED
Gen 116 | best fit   10.635 | equity $   23574 | sortino 10.64 | trades 1007 | ✓ SURVIVED
Gen 121 | best fit   10.642 | equity $   21551 | sortino 10.64 | trades 1011 | ✓ SURVIVED
Gen 126 | best fit   10.647 | equity $   22892 | sortino 10.65 | trades 1009 | ✓ SURVIVED
Gen 131 | best fit   10.647 | equity $   22892 | sortino 10.65 | trades 1009 | ✓ SURVIVED
Gen 136 | best fit   10.647 | equity $   22892 | sortino 10.65 | trades 1009 | ✓ SURVIVED
Gen 141 | best fit   10.647 | equity $   22892 | sortino 10.65 | trades 1009 | ✓ SURVIVED
Gen 146 | best fit   10.647 | equity $   22892 | sortino 10.65 | trades 1009 | ✓ SURVIVED
Gen 151 | best fit   10.647 | equity $   22892 | sortino 10.65 | trades 1009 | ✓ SURVIVED
Gen 156 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 161 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 166 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 171 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 176 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 181 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 186 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 191 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 196 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 201 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 206 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 211 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 216 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 221 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 226 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 231 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 236 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 241 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 246 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 251 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 256 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 261 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 266 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 271 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 276 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 281 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 286 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 291 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 296 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 301 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 306 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
