Argus v2 evolution — run v2, budget 5 min, seed 42

Data: 3951 bars, 71 curated events
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Indicators + event-state precomputed

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

Gen    1 | fit   2.291 | CAGR   69.9% | DD  30.5% | Calmar   2.29 | trades  104 | ✓
Gen    2 | fit   2.458 | CAGR   85.2% | DD  34.7% | Calmar   2.46 | trades   64 | ✓
Gen    6 | fit   4.328 | CAGR   75.0% | DD  17.3% | Calmar   4.33 | trades  182 | ✓
Gen   11 | fit   5.359 | CAGR   75.0% | DD  14.0% | Calmar   5.36 | trades  358 | ✓
Gen   16 | fit   6.503 | CAGR  184.2% | DD  28.3% | Calmar   6.50 | trades  464 | ✓
Gen   21 | fit   7.997 | CAGR  241.2% | DD  30.2% | Calmar   8.00 | trades  426 | ✓
Gen   26 | fit   8.367 | CAGR  236.4% | DD  28.2% | Calmar   8.37 | trades  416 | ✓
Gen   31 | fit   8.367 | CAGR  236.4% | DD  28.2% | Calmar   8.37 | trades  416 | ✓
Gen   36 | fit   8.367 | CAGR  236.4% | DD  28.2% | Calmar   8.37 | trades  416 | ✓
Gen   41 | fit   8.475 | CAGR  243.9% | DD  28.8% | Calmar   8.48 | trades  398 | ✓
Gen   46 | fit   9.004 | CAGR  254.4% | DD  28.2% | Calmar   9.00 | trades  400 | ✓
Gen   51 | fit   9.437 | CAGR  268.1% | DD  28.4% | Calmar   9.44 | trades  396 | ✓
Gen   56 | fit   9.437 | CAGR  268.1% | DD  28.4% | Calmar   9.44 | trades  396 | ✓
Gen   61 | fit   9.547 | CAGR  269.7% | DD  28.2% | Calmar   9.55 | trades  396 | ✓
Gen   66 | fit   9.552 | CAGR  269.8% | DD  28.2% | Calmar   9.55 | trades  398 | ✓
Gen   71 | fit   9.553 | CAGR  269.9% | DD  28.2% | Calmar   9.55 | trades  398 | ✓
Gen   76 | fit   9.721 | CAGR  274.6% | DD  28.2% | Calmar   9.72 | trades  396 | ✓
Gen   81 | fit   9.721 | CAGR  274.6% | DD  28.2% | Calmar   9.72 | trades  396 | ✓
Gen   86 | fit   9.777 | CAGR  276.2% | DD  28.2% | Calmar   9.78 | trades  394 | ✓
Gen   91 | fit   9.797 | CAGR  276.8% | DD  28.2% | Calmar   9.80 | trades  394 | ✓
Gen   96 | fit   9.799 | CAGR  276.8% | DD  28.2% | Calmar   9.80 | trades  394 | ✓
Gen  101 | fit   9.846 | CAGR  278.1% | DD  28.2% | Calmar   9.85 | trades  394 | ✓
Gen  106 | fit   9.875 | CAGR  279.0% | DD  28.2% | Calmar   9.87 | trades  394 | ✓
Gen  111 | fit   9.893 | CAGR  279.5% | DD  28.2% | Calmar   9.89 | trades  394 | ✓
Gen  116 | fit   9.908 | CAGR  279.9% | DD  28.2% | Calmar   9.91 | trades  394 | ✓
Gen  121 | fit   9.914 | CAGR  280.1% | DD  28.2% | Calmar   9.91 | trades  394 | ✓
Gen  126 | fit   9.915 | CAGR  280.1% | DD  28.2% | Calmar   9.92 | trades  394 | ✓
Gen  131 | fit   9.918 | CAGR  280.2% | DD  28.2% | Calmar   9.92 | trades  394 | ✓
Gen  136 | fit   9.921 | CAGR  280.3% | DD  28.2% | Calmar   9.92 | trades  394 | ✓
