Argus v3 evolution (17-gene reduced) — run v3, budget 5 min, seed 42

Data: 3951 bars, 71 curated events
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Indicators + event-state precomputed

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

Gen    1 | fit   2.083 | CAGR   72.3% | DD  34.7% | Calmar   2.08 | trades   84 | ✓
Gen    2 | fit   2.083 | CAGR   72.3% | DD  34.7% | Calmar   2.08 | trades   84 | ✓
Gen    6 | fit   3.902 | CAGR  123.5% | DD  31.6% | Calmar   3.90 | trades  224 | ✓
Gen   11 | fit   4.182 | CAGR  133.1% | DD  31.8% | Calmar   4.18 | trades  118 | ✓
Gen   16 | fit   4.618 | CAGR  150.8% | DD  32.7% | Calmar   4.62 | trades  110 | ✓
Gen   21 | fit   6.190 | CAGR  110.8% | DD  17.9% | Calmar   6.19 | trades   94 | ✓
Gen   26 | fit   7.265 | CAGR  153.7% | DD  21.2% | Calmar   7.26 | trades   92 | ✓
Gen   31 | fit   8.120 | CAGR  170.7% | DD  21.0% | Calmar   8.12 | trades   96 | ✓
Gen   36 | fit   9.170 | CAGR  140.6% | DD  15.3% | Calmar   9.17 | trades   84 | ✓
Gen   41 | fit  10.481 | CAGR  191.6% | DD  18.3% | Calmar  10.48 | trades   88 | ✓
Gen   46 | fit  11.110 | CAGR  174.9% | DD  15.7% | Calmar  11.11 | trades   92 | ✓
Gen   51 | fit  11.433 | CAGR  179.7% | DD  15.7% | Calmar  11.43 | trades   88 | ✓
Gen   56 | fit  11.593 | CAGR  180.0% | DD  15.5% | Calmar  11.59 | trades   86 | ✓
Gen   61 | fit  11.847 | CAGR  187.0% | DD  15.8% | Calmar  11.85 | trades   86 | ✓
Gen   66 | fit  12.179 | CAGR  192.2% | DD  15.8% | Calmar  12.18 | trades   88 | ✓
Gen   71 | fit  12.282 | CAGR  194.5% | DD  15.8% | Calmar  12.28 | trades   86 | ✓
Gen   76 | fit  12.851 | CAGR  202.4% | DD  15.7% | Calmar  12.85 | trades   86 | ✓
Gen   81 | fit  12.902 | CAGR  203.2% | DD  15.7% | Calmar  12.90 | trades   86 | ✓
Gen   86 | fit  12.954 | CAGR  204.0% | DD  15.7% | Calmar  12.95 | trades   86 | ✓
Gen   91 | fit  13.013 | CAGR  205.8% | DD  15.8% | Calmar  13.01 | trades   86 | ✓
Gen   96 | fit  13.084 | CAGR  206.9% | DD  15.8% | Calmar  13.08 | trades   84 | ✓
Gen  101 | fit  13.104 | CAGR  207.2% | DD  15.8% | Calmar  13.10 | trades   84 | ✓
Gen  106 | fit  13.204 | CAGR  208.8% | DD  15.8% | Calmar  13.20 | trades   84 | ✓
Gen  111 | fit  13.363 | CAGR  211.3% | DD  15.8% | Calmar  13.36 | trades   84 | ✓
Gen  116 | fit  13.391 | CAGR  212.8% | DD  15.9% | Calmar  13.39 | trades   84 | ✓
Gen  121 | fit  13.523 | CAGR  214.5% | DD  15.9% | Calmar  13.52 | trades   84 | ✓
Gen  126 | fit  13.594 | CAGR  218.2% | DD  16.1% | Calmar  13.59 | trades   84 | ✓
