Argus v4 evolution (K-fold + slippage) — run v4, budget 10 min, seed 42

Data: 3951 bars, 71 curated events
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Indicators + event-state precomputed

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

K-fold: 4 folds within train slice
  Fold 0: 2010-08-18 → 2017-08-27 (650 bars)
  Fold 1: 2017-08-28 → 2019-06-08 (650 bars)
  Fold 2: 2019-06-09 → 2021-03-19 (650 bars)
  Fold 3: 2021-03-20 → 2022-12-31 (652 bars)

Gen    1 | fit   4.200 | fold Calmar 10.84/ 0.66/ 5.40/-0.10 | fold DD 35/25/20/24%
Gen    2 | fit  28.313 | fold Calmar -0.01/ 0.00/113.26/ 0.00 | fold DD  2/ 0/ 0/ 0%
Gen    6 | fit  28.313 | fold Calmar -0.01/ 0.00/113.26/ 0.00 | fold DD  2/ 0/ 0/ 0%
Gen   11 | fit  28.313 | fold Calmar -0.01/ 0.00/113.26/ 0.00 | fold DD  2/ 0/ 0/ 0%
Gen   16 | fit  39.102 | fold Calmar 153.14/ 1.30/ 1.46/ 0.51 | fold DD 25/23/34/21%
Gen   21 | fit  41.301 | fold Calmar 160.61/ 0.35/ 4.19/ 0.06 | fold DD 27/37/29/34%
Gen   26 | fit  53.125 | fold Calmar 211.53/ 0.13/ 0.91/-0.08 | fold DD 26/25/34/23%
Gen   31 | fit  66.745 | fold Calmar 266.64/-0.14/ 0.55/-0.07 | fold DD 22/29/36/23%
Gen   36 | fit  72.082 | fold Calmar 287.91/-0.10/ 0.65/-0.13 | fold DD 22/25/36/24%
Gen   41 | fit  80.919 | fold Calmar 323.48/-0.12/ 0.65/-0.34 | fold DD 22/25/36/24%
Gen   46 | fit  85.484 | fold Calmar 341.66/-0.11/ 0.55/-0.16 | fold DD 22/24/36/22%
Gen   51 | fit  97.063 | fold Calmar 387.22/ 0.57/ 0.66/-0.19 | fold DD 22/22/37/22%
Gen   56 | fit 100.257 | fold Calmar 400.07/ 0.44/ 0.71/-0.19 | fold DD 22/24/37/22%
Gen   61 | fit 100.948 | fold Calmar 402.73/ 0.47/ 0.78/-0.18 | fold DD 22/24/36/22%
Gen   66 | fit 135.331 | fold Calmar 539.07/ 0.53/ 1.29/ 0.44 | fold DD 21/27/33/22%
Gen   71 | fit 137.958 | fold Calmar 549.08/ 0.71/ 1.35/ 0.68 | fold DD 21/25/33/19%
Gen   76 | fit 140.700 | fold Calmar 560.78/ 0.45/ 1.40/ 0.17 | fold DD 21/28/33/22%
Gen   81 | fit 142.600 | fold Calmar 568.68/ 0.38/ 1.26/ 0.08 | fold DD 21/29/34/21%
Gen   86 | fit 142.907 | fold Calmar 569.91/ 0.38/ 1.26/ 0.08 | fold DD 21/29/34/22%
Gen   91 | fit 143.242 | fold Calmar 570.72/ 0.36/ 1.08/ 0.81 | fold DD 21/30/34/18%
Gen   96 | fit 143.530 | fold Calmar 571.73/ 0.43/ 1.14/ 0.82 | fold DD 21/28/34/18%
Gen  101 | fit 143.545 | fold Calmar 571.73/ 0.43/ 1.20/ 0.82 | fold DD 21/28/34/18%
