Argus v5 (macro + geo-mean K-fold + event delay + slippage) — run v5, budget 10 min, seed 42

Data: 3951 bars, 71 curated events, 3951 macro rows
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Precomputed: indicators + event-state (1d delay) + macro state

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

K-fold: 4 folds within train slice
  Fold 0: 2010-08-18 → 2017-08-27 (650 bars)
  Fold 1: 2017-08-28 → 2019-06-08 (650 bars)
  Fold 2: 2019-06-09 → 2021-03-19 (650 bars)
  Fold 3: 2021-03-20 → 2022-12-31 (652 bars)

Gen    1 | fit   1.116 | fold Calmar  3.67/ 5.25/ 1.70/ 0.05 | fold DD  4/ 0/ 3/ 1%
Gen    2 | fit   2.079 | fold Calmar  4.88/ 1.46/ 1.23/ 2.14 | fold DD  8/ 5/ 7/ 3%
Gen    6 | fit   2.284 | fold Calmar  7.12/ 1.79/ 0.99/ 2.15 | fold DD  8/ 5/10/ 4%
Gen   11 | fit   3.377 | fold Calmar  8.70/14.96/ 0.64/ 1.57 | fold DD 11/ 2/14/ 9%
Gen   16 | fit   5.373 | fold Calmar 23.71/ 1.86/ 7.97/ 2.37 | fold DD 26/15/10/ 9%
Gen   21 | fit   6.325 | fold Calmar 28.47/ 3.26/ 8.81/ 1.95 | fold DD 24/ 9/10/ 9%
Gen   26 | fit   6.378 | fold Calmar 30.78/ 2.80/ 7.66/ 2.50 | fold DD 27/11/10/ 6%
Gen   31 | fit   6.757 | fold Calmar 31.93/ 3.77/ 8.85/ 1.95 | fold DD 25/10/11/ 9%
Gen   36 | fit   7.083 | fold Calmar 30.34/ 3.91/ 9.65/ 2.20 | fold DD 25/ 8/10/ 7%
Gen   41 | fit   7.342 | fold Calmar 30.92/ 4.24/ 9.55/ 2.32 | fold DD 25/ 7/ 9/ 6%
Gen   46 | fit   7.393 | fold Calmar 30.80/ 4.33/ 9.64/ 2.33 | fold DD 25/ 7/ 9/ 6%
Gen   51 | fit   7.557 | fold Calmar 28.51/ 4.01/11.13/ 2.56 | fold DD 24/ 7/ 9/ 6%
Gen   56 | fit   7.577 | fold Calmar 28.37/ 4.06/11.17/ 2.56 | fold DD 24/ 7/ 9/ 6%
